FrameCount,Breath Period (sec),Walking Pace (Hz)
274,3.0,1.9306569
275,2.0,1.930909
276,2.0,1.9311594
277,2.0,1.9277978
278,2.0,1.9316547
279,2.0,1.9318997
280,2.0,1.9321429
281,2.0,1.9323844
282,3.0,1.9326241
283,2.0,1.9328622
284,2.0,1.9330986
285,2.0,1.9333333
286,2.0,1.9335665
287,2.0,1.933798
288,3.0,1.9340278
289,2.0,1.9342561
290,2.0,1.9344828
291,2.0,1.9347079
292,2.0,1.9349315
293,2.0,1.9351536
294,2.0,1.9353741
295,2.0,1.9355932
296,2.0,1.9358108
297,5.0,1.9360269
298,2.0,1.9362416
299,2.0,1.9331104
300,4.0,1.9333333
301,4.0,1.9335548
302,3.0,1.9304636
303,2.0,1.9240924
304,2.0,1.9243422
305,2.0,1.9213115
306,2.0,1.9215686
307,2.0,1.9218241
308,3.0,1.9220779
309,2.0,1.9223301
310,2.0,1.9225806
311,2.0,1.9228296
312,2.0,1.9230769
313,3.0,1.9233227
314,3.0,1.9203821
315,3.0,1.9206349
316,3.0,1.920886
317,3.0,1.9148265
318,6.0,1.908805
319,2.0,1.9028213
320,2.0,1.896875
321,3.0,1.8909657
322,2.0,1.8850932
323,2.0,1.879257
324,2.0,1.8734568
325,3.0,1.8676924
326,2.0,1.8619632
327,2.0,1.8562691
328,2.0,1.8506098
329,2.0,1.8449848
330,3.0,1.8424243
331,2.0,1.836858
332,2.0,1.8343374
333,2.0,1.8348348
334,3.0,1.8353293
335,3.0,1.8328358
336,3.0,1.8333334
337,2.0,1.8338279
338,2.0,1.8343195
339,2.0,1.8348082
340,2.0,1.8352941
341,2.0,1.8328446
342,2.0,1.8362573
343,2.0,1.8367347
344,2.0,1.8372093
345,2.0,1.8376812
346,3.0,1.8352602
347,2.0,1.8328531
348,2.0,1.8333334
349,2.0,1.8338109
350,3.0,1.8371428
351,2.0,1.8347578
352,2.0,1.8352273
353,2.0,1.8356941
354,2.0,1.8361582
355,3.0,1.8366197
356,2.0,1.8370787
357,2.0,1.837535
358,2.0,1.8379889
359,2.0,1.8384401
360,2.0,1.8388889
361,2.0,1.8393352
362,2.0,1.839779
363,3.0,1.8402203
364,2.0,1.8406594
365,2.0,1.8410959
366,2.0,1.8415301
367,2.0,1.8419619
368,2.0,1.8451087
369,2.0,1.8455285
370,3.0,1.845946
371,2.0,1.8463612
372,2.0,1.8467742
373,3.0,1.847185
374,2.0,1.8475935
375,2.0,1.848
